Watching for file changes with StatReloader
"GET /task/index/ HTTP/1.1" 200 1621
"GET /task/block/ HTTP/1.1" 200 93
"POST /task/index/add/ HTTP/1.1" 201 78
Watching for file changes with StatReloader
/home/danyil/projects/result_2/comments/comments/settings.py changed, reloading.
INFO 2020-01-20 13:57:14,594 autoreload 31566 139677174966080 Watching for file changes with StatReloader
INFO 2020-01-20 13:57:16,370 basehttp 31566 139677114304256 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:57:16,409 basehttp 31566 139677114304256 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:57:16,410 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:57:16,444 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 172
INFO 2020-01-20 13:57:18,029 basehttp 31566 139677034084096 "DELETE /task/index/delete/181 HTTP/1.1" 301 0
INFO 2020-01-20 13:57:18,041 basehttp 31566 139677034084096 "DELETE /task/index/delete/181/ HTTP/1.1" 204 0
INFO 2020-01-20 13:57:38,970 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:57:39,024 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 93
INFO 2020-01-20 13:57:57,158 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:57:57,216 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 93
INFO 2020-01-20 13:57:58,020 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:57:58,516 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:57:59,204 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:00,021 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:00,552 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:02,015 basehttp 31566 139677034084096 "DELETE /task/index/delete/180 HTTP/1.1" 301 0
INFO 2020-01-20 13:58:02,036 basehttp 31566 139677034084096 "DELETE /task/index/delete/180/ HTTP/1.1" 204 0
INFO 2020-01-20 13:58:20,333 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 91
INFO 2020-01-20 13:58:24,269 basehttp 31566 139677034084096 "DELETE /task/index/delete/182 HTTP/1.1" 301 0
INFO 2020-01-20 13:58:24,297 basehttp 31566 139677034084096 "DELETE /task/index/delete/182/ HTTP/1.1" 204 0
INFO 2020-01-20 13:58:24,841 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:24,867 basehttp 31566 139677034084096 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:58:24,867 basehttp 31566 139677114304256 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:58:24,932 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 13:58:25,839 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:26,002 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:26,168 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:35,630 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:35,805 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 200 3989
INFO 2020-01-20 13:58:35,807 basehttp 31566 139677025691392 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7833
INFO 2020-01-20 13:58:35,871 basehttp 31566 139677017298688 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 13:58:40,930 basehttp 31566 139677017298688 "POST /task/index/add/ HTTP/1.1" 201 78
INFO 2020-01-20 13:58:41,939 basehttp 31566 139677017298688 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:41,990 basehttp 31566 139677025691392 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7833
INFO 2020-01-20 13:58:41,991 basehttp 31566 139677017298688 "GET /static/css/styles.css HTTP/1.1" 200 3989
INFO 2020-01-20 13:58:42,134 basehttp 31566 139677025691392 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 13:58:42,153 basehttp 31566 139677025691392 "GET /task/block/ HTTP/1.1" 200 80
INFO 2020-01-20 13:58:45,850 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:45,911 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 80
INFO 2020-01-20 13:58:46,944 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:48,287 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:48,343 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:58:48,343 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:58:48,389 basehttp 31566 139677025691392 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 13:58:48,414 basehttp 31566 139677025691392 "GET /task/block/ HTTP/1.1" 200 80
INFO 2020-01-20 13:58:49,651 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:49,687 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:58:49,688 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:58:49,728 basehttp 31566 139677025691392 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 13:58:49,738 basehttp 31566 139677025691392 "GET /task/block/ HTTP/1.1" 200 80
INFO 2020-01-20 13:58:53,944 basehttp 31566 139677025691392 "POST /task/index/add/ HTTP/1.1" 201 81
INFO 2020-01-20 13:58:55,203 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:55,251 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:58:55,251 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:58:55,293 basehttp 31566 139677025691392 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 13:58:55,316 basehttp 31566 139677025691392 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:58:58,270 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:58,312 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:59:30,511 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:59:30,555 basehttp 31566 139677034084096 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:59:30,563 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7834
INFO 2020-01-20 13:59:30,629 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:59:31,295 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:59:31,371 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:00:37,287 basehttp 31566 139677034084096 "DELETE /task/index/delete/183 HTTP/1.1" 301 0
INFO 2020-01-20 14:00:37,308 basehttp 31566 139677034084096 "DELETE /task/index/delete/183/ HTTP/1.1" 204 0
INFO 2020-01-20 14:00:50,901 basehttp 31566 139677025691392 "DELETE /task/index/delete/184 HTTP/1.1" 301 0
INFO 2020-01-20 14:00:51,166 basehttp 31566 139677025691392 "DELETE /task/index/delete/184/ HTTP/1.1" 204 0
INFO 2020-01-20 14:00:53,817 basehttp 31566 139677025691392 "DELETE /task/index/delete/183 HTTP/1.1" 301 0
WARNING 2020-01-20 14:00:53,824 log 31566 139677025691392 Not Found: /task/index/delete/183/
WARNING 2020-01-20 14:00:53,825 basehttp 31566 139677025691392 "DELETE /task/index/delete/183/ HTTP/1.1" 404 23
INFO 2020-01-20 14:00:53,846 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:00:53,890 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:00:53,891 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7834
INFO 2020-01-20 14:00:53,934 basehttp 31566 139677017298688 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 14:00:53,940 basehttp 31566 139677017298688 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 14:01:09,346 basehttp 31566 139677034084096 "DELETE /task/index/delete/184 HTTP/1.1" 301 0
WARNING 2020-01-20 14:01:09,356 log 31566 139677034084096 Not Found: /task/index/delete/184/
WARNING 2020-01-20 14:01:09,357 basehttp 31566 139677034084096 "DELETE /task/index/delete/184/ HTTP/1.1" 404 23
INFO 2020-01-20 14:01:09,388 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:01:09,448 basehttp 31566 139677034084096 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:01:09,456 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:01:09,475 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 14:01:48,177 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 89
INFO 2020-01-20 14:01:49,926 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:01:49,991 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:01:50,040 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 91
INFO 2020-01-20 14:01:57,915 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 82
WARNING 2020-01-20 14:02:02,340 log 31566 139677034084096 Bad Request: /task/index/add/
WARNING 2020-01-20 14:02:02,341 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 400 49
INFO 2020-01-20 14:02:02,362 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:02:02,417 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 174
INFO 2020-01-20 14:02:11,141 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 75
INFO 2020-01-20 14:02:12,931 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:02:12,969 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:02:12,981 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 250
INFO 2020-01-20 14:02:22,045 basehttp 31566 139677034084096 "PUT /task/index/edit/187/ HTTP/1.1" 200 0
